"name","mz","ionmode"
"SPB 23:2;2O",366.33775,"neg"
"SPB 23:2;3O",382.33267,"neg"
"SPB 23:3;2O",364.3221,"neg"
"SPB 23:3;3O",380.31702,"neg"
"SPB 24:0;2O",384.3847,"neg"
"SPB 24:0;3O",400.37962,"neg"
"SPB 24:1;2O",382.36905,"neg"
"SPB 24:1;3O",398.36397,"neg"
"SPB 24:2;2O",380.3534,"neg"
"SPB 24:2;3O",396.34832,"neg"
"SPB 24:3;2O",378.33775,"neg"
"SPB 24:3;3O",394.33267,"neg"
"SPB 8:0;2O",160.1343,"neg"
"SPB 8:0;3O",176.12922,"neg"
"SPB 8:1;2O",158.11865,"neg"
"SPB 8:1;3O",174.11357,"neg"
"SPB 8:2;2O",156.103,"neg"
"SPB 8:2;3O",172.09792,"neg"
"SPB 9:0;2O",174.14995,"neg"
"SPB 9:0;3O",190.14487,"neg"
"SPB 9:1;2O",172.1343,"neg"
"SPB 9:1;3O",188.12922,"neg"
"SPB 9:2;2O",170.11865,"neg"
"SPB 9:2;3O",186.11357,"neg"
"SPB 9:3;2O",168.103,"neg"
"SPB 9:3;3O",184.09792,"neg"
"FA 1:0",47.01276,"pos"
"FA 1:0;O",63.00767,"pos"
"FA 10:0",173.15361,"pos"
"FA 10:0;O",189.14852,"pos"
"FA 10:1",171.13796,"pos"
"FA 10:1;O",187.13287,"pos"
"FA 10:2",169.12231,"pos"
"FA 10:2;O",185.11722,"pos"
"FA 10:3",167.10666,"pos"
"FA 10:3;O",183.10157,"pos"
"FA 11:0",187.16926,"pos"
"FA 11:0;O",203.16417,"pos"
"FA 11:1",185.15361,"pos"
"FA 11:1;O",201.14852,"pos"
"FA 11:2",183.13796,"pos"
"FA 11:2;O",199.13287,"pos"
"FA 11:3",181.12231,"pos"
"FA 11:3;O",197.11722,"pos"
"FA 12:0",201.18491,"pos"
"FA 12:0;O",217.17982,"pos"
"FA 12:1",199.16926,"pos"
"FA 12:1;O",215.16417,"pos"
"FA 12:2",197.15361,"pos"
"FA 12:2;O",213.14852,"pos"
"FA 12:3",195.13796,"pos"
"FA 12:3;O",211.13287,"pos"
"FA 13:0",215.20056,"pos"
"FA 13:0;O",231.19547,"pos"
"FA 13:1",213.18491,"pos"
"FA 13:1;O",229.17982,"pos"
"FA 13:2",211.16926,"pos"
